Station Code,Station Status,Station Address,Opening Date,Planning Area,Connection(s),Postal,Latitude,Longitude
CC14,Operating,Lorong Chuan MRT Station,28-May-09,Serangoon,,554533,1.351612171,103.8641519
CR3,Future,Loyang MRT Station,2029,Pasir Ris,,,1.372,103.972
CC10,Operating,MacPherson MRT Station,17-Apr-10,Geylang,,409048,1.326077602,103.8903913
DT26,Operating,MacPherson MRT Station,17-Apr-10,Geylang,,378956,1.326150245,103.8892986
TE20,Future,Marina Bay MRT Station,4-Nov-89,"Downtown Core, Straits View Planning Area",,18929,1.274741732,103.8553092
CC33,Future,Marina Bay MRT Station,14-Jan-12,"Downtown Core, Straits View Planning Area",,,1.276097,103.854675
NS27,Operating,Marina Bay MRT Station,4-Nov-89,"Downtown Core, Straits View Planning Area",,18925,1.276410299,103.8545955
CE2,Operating,Marina Bay MRT Station,4-Nov-89,"Downtown Core, Straits View Planning Area",,18926,1.276251464,103.8554472
TE21,Future,Marina South MRT Station,2021,"Marina South, Straits View Planning Area",,19397,1.274554759,103.8635743
NS28,Operating,Marina South Pier MRT Station,23-Nov-14,Straits View Planning Area,Marina South Pier,18948,1.271027036,103.8624475
TE26,Future,Marine Parade MRT Station,2023,Marine Parade,,NIL,1.302630145,103.9049619
TE27,Future,Marine Terrace MRT Station,2023,"Bedok, Marine Parade",,NIL,1.306665103,103.9151067
NS8,Operating,Marsiling MRT Station,10-Feb-96,Woodlands,,739044,1.432521149,103.7740746
CC16,Operating,Marymount MRT Station,28-May-09,Bishan,,573993,1.348707263,103.8394231
DT25,Operating,Mattar MRT Station,21-Oct-17,Geylang,,379314,1.326876715,103.8832475
TE18,Future,Maxwell MRT Station,2021,"Downtown Core, Outram",,58841,1.280533298,103.8438837
TE6,Future,Mayflower MRT Station,2021,Ang Mo Kio,,569900,1.371463188,103.8365678
TE10,Future,Mount Pleasant MRT Station,2021,Novena,,NIL,1.328517954,103.8346883
CC7,Operating,Mountbatten MRT Station,17-Apr-10,"Geylang, Kallang",,398006,1.306201905,103.8825281
JW4,Future,Nanyang Crescent MRT Station,2028,Western Water Catchment,,,1.34836,103.68085
JW3,Future,Nanyang Gateway MRT Station,2028,Western Water Catchment,,,1.35369,103.68661
TE12,Future,Napier MRT Station,2021,Tanglin,,258511,1.306783078,103.818967
NS21,Operating,Newton MRT Station,12-Dec-87,Newton,,228234,1.312318922,103.8379846
DT11,Operating,Newton MRT Station,12-Dec-87,Newton,,229901,1.313992863,103.8377146
CC5,Operating,Nicoll Highway MRT Station,17-Apr-10,Downtown Core,,38970,1.299766847,103.863637
NS20,Operating,Novena MRT Station,12-Dec-87,Novena,,307642,1.320440791,103.8438256
CC23,Operating,one-north MRT Station,8-Oct-11,Queenstown,,138647,1.299759875,103.7874575
TE13,Future,Orchard Boulevard MRT Station,2021,"Orchard Planning Area, River Valley Planning Area",,248654,1.302422248,103.8238685
TE14,Future,Orchard MRT Station,12-Dec-87,"Orchard Planning Area, River Valley Planning Area",,237974,1.303044263,103.831375
NS22,Operating,Orchard MRT Station,12-Dec-87,"Orchard Planning Area, River Valley Planning Area",,238878,1.303979934,103.8322453
TE17,Future,Outram Park MRT Station,12-Dec-87,"Bukit Merah, Outram",Kampong Bahru Bus Terminal,169080,1.281329644,103.8391376
EW16,Operating,Outram Park MRT Station,12-Dec-87,"Bukit Merah, Outram",Kampong Bahru Bus Terminal,169037,1.281405048,103.839131
NE3,Operating,Outram Park MRT Station,12-Dec-87,"Bukit Merah, Outram",Kampong Bahru Bus Terminal,59816,1.279720594,103.8394399
JE7,Future,Pandan Reservoir MRT Station,2027,Jurong East,,,1.32,103.745
CC26,Operating,Pasir Panjang MRT Station,8-Oct-11,Queenstown,,117424,1.276213522,103.7913503
CR4,Future,Pasir Ris East MRT Station,2029,Pasir Ris,,,1.366,103.961
CR5,Future,Pasir Ris MRT Station,16-Dec-89,Pasir Ris,Pasir Ris Bus Interchange,,1.372411,103.949369
CP1,Future,Pasir Ris MRT Station,16-Dec-89,Pasir Ris,Pasir Ris Bus Interchange,,1.372411,103.949369
EW1,Operating,Pasir Ris MRT Station,16-Dec-89,Pasir Ris,Pasir Ris Bus Interchange,519634,1.373043316,103.9492845
EW8,Operating,Paya Lebar MRT Station,4-Nov-89,Geylang,,409006,1.318111492,103.8930608
CC9,Operating,Paya Lebar MRT Station,4-Nov-89,Geylang,,409049,1.317247385,103.8922608
JW5,Future,Peng Kang Hill MRT Station,2028,Western Water Catchment,,,1.34326,103.67849
EW28,Operating,Pioneer MRT Station,28-Feb-09,Jurong West,,648310,1.337587011,103.6973216
NE10,Operating,Potong Pasir MRT Station,20-Jun-03,Toa Payoh,,347694,1.33137949,103.8690557
CC32,Future,Prince Edward Road MRT Station,2025,Downtown Core,,79122,1.273156936,103.8470971
CC4,Operating,Promenade MRT Station,17-Apr-10,Downtown Core,Marina Centre Bus Terminal,39193,1.293997986,103.86035
DT15,Operating,Promenade MRT Station,17-Apr-10,Downtown Core,Marina Centre Bus Terminal,39194,1.292891754,103.8608918
NE18,Future,Punggol Coast MRT Station,2024,Punggol,Punggol North Bus Interchange,NIL,1.415306868,103.9105946
CP4,Future,Punggol MRT Station,20-Jun-03,Punggol,Punggol Temporary Bus Interchange,,1.405264,103.902097
NE17,Operating,Punggol MRT Station,20-Jun-03,Punggol,Punggol Temporary Bus Interchange,828868,1.404546537,103.9020726
PTC,Operating,Punggol MRT Station,20-Jun-03,Punggol,Punggol Temporary Bus Interchange,828868,1.405194701,103.9024119
EW19,Operating,Queenstown MRT Station,12-Mar-88,Queenstown,,149729,1.294550852,103.8060772
NS26,Operating,Raffles Place MRT Station,12-Dec-87,Downtown Core,,48618,1.28412561,103.8514617
EW14,Operating,Raffles Place MRT Station,12-Dec-87,Downtown Core,,48618,1.28412561,103.8514617
EW18,Operating,Redhill MRT Station,12-Mar-88,Bukit Merah,,158792,1.289634534,103.816741
CP3,Future,Riviera MRT Station,2031,Punggol,,,1.394439,103.916772
PE4,Operating,Riviera MRT Station,2031,Punggol,,828852,1.394519785,103.9161694
DT13,Operating,Rochor MRT Station,27-Dec-15,Rochor,,188505,1.303852185,103.8527694
NS11,Operating,Sembawang MRT Station,10-Feb-96,Sembawang,Sembawang Bus Interchange,759775,1.449050822,103.8200461
NE16,Operating,Sengkang MRT Station,20-Jun-03,Sengkang,"Compassvale Bus Interchange
 Sengkang Bus Interchange",545062,1.391694626,103.8954847
STC,Operating,Sengkang MRT Station,20-Jun-03,Sengkang,"Compassvale Bus Interchange
 Sengkang Bus Interchange",545062,1.391609364,103.8954426
NE12,Operating,Serangoon MRT Station,20-Jun-03,Serangoon,Serangoon Bus Interchange,534801,1.349707881,103.8735748
CC13,Operating,Serangoon MRT Station,20-Jun-03,Serangoon,Serangoon Bus Interchange,556082,1.350633615,103.8727717
CR9,Future,Serangoon North MRT Station,2029,"Hougang, Serangoon",,,1.37067,103.8736
TE19,Future,Shenton Way MRT Station,2021,Downtown Core,,18928,1.277716828,103.8503676
TE28,Future,Siglap MRT Station,2023,Bedok,,NIL,1.310008551,103.9300258
EW3,Operating,Simei MRT Station,16-Dec-89,Tampines,,529888,1.343197079,103.9533772
DT7,Operating,Sixth Avenue MRT Station,27-Dec-15,Bukit Timah,,269784,1.330857645,103.7969068
NS23,Operating,Somerset MRT Station,12-Dec-87,Orchard Planning Area,,238162,1.300264167,103.8390858
TE4,Future,Springleaf MRT Station,2021,Yishun,,787140,1.397581061,103.8178569
CC6,Operating,Stadium MRT Station,17-Apr-10,Kallang,,397692,1.302812468,103.8753377
TE11,Future,Stevens MRT Station,27-Dec-15,"Novena, Tanglin",,257879,1.319334374,103.825567
DT10,Operating,Stevens MRT Station,27-Dec-15,"Novena, Tanglin",,257877,1.320065558,103.8260244
DT37,Future,Sungei Bedok MRT Station,2024,Bedok,,NIL,1.320401487,103.9571838
TE31,Future,Sungei Bedok MRT Station,2024,Bedok,,NIL,1.320401487,103.9571838
NS6,Future,Sungei Kadut MRT Station,Mid-2030s,Sungei Kadut,,,,
DT,Future,Sungei Kadut MRT Station,Mid-2030s,Sungei Kadut,,,,
CC11,Operating,Tai Seng MRT Station,17-Apr-10,"Hougang, Toa Payoh",,534803,1.335141501,103.8883893
DT33,Operating,Tampines East MRT Station,21-Oct-17,Tampines,,529623,1.356191483,103.9546345
EW2,Operating,Tampines MRT Station,16-Dec-89,Tampines,"Tampines Bus Interchange,  Tampines Concourse Bus Interchange",529538,1.353301676,103.9451446
DT32,Operating,Tampines MRT Station,16-Dec-89,Tampines,"Tampines Bus Interchange,  Tampines Concourse Bus Interchange",529544,1.355150411,103.9430099
CR6,Future,Tampines North MRT Station,2029,Tampines,Tampines North Bus Interchange,,1.36919,103.93786
DT31,Operating,Tampines West MRT Station,21-Oct-17,Tampines,,529683,1.345515306,103.938437
DT8,Operating,Tan Kah Kee MRT Station,27-Dec-15,Bukit Timah,,266268,1.325556235,103.8077603
TE,Future,Tanah Merah MRT Station,4-Nov-89,Bedok,,,1.327358,103.946344
EW4,Operating,Tanah Merah MRT Station,4-Nov-89,Bedok,,467356,1.327187291,103.9463486
CG,Operating,Tanah Merah MRT Station,4-Nov-89,Bedok,,,,
TE25,Future,Tanjong Katong MRT Station,2023,Marine Parade,,439846,1.299319257,103.8973687
EW15,Operating,Tanjong Pagar MRT Station,12-Dec-87,Downtown Core,Shenton Way Bus Terminal,69119,1.276561317,103.8457252
TE23,Future,Tanjong Rhu MRT Station,2023,Kallang,,436488,1.297265079,103.8734533
CR10,Future,Tavistock MRT Station,2029,Serangoon,,,1.37004,103.86328
JW2,Future,Tawas MRT Station,2026,Western Water Catchment,,,1.35056,103.69185
CR12,Future,Teck Ghee MRT Station,2029,"Ang Mo Kio, Bishan",,,1.36564,103.84362
DT18,Operating,Telok Ayer MRT Station,22-Dec-13,"Downtown Core, Outram",,48416,1.282068948,103.8486488
CC28,Operating,Telok Blangah MRT Station,8-Oct-11,Bukit Merah,,109028,1.270706477,103.8097616
JS3,Future,Tengah MRT Station,2026,Tengah,Tengah Bus Interchange,,1.36633,103.73007
JE2,Future,Tengah Park MRT Station,2027,"Bukit Batok, Tengah",,,1.35235,103.73679
JE1,Future,Tengah Plantation MRT Station,2027,Tengah,,,1.35731,103.73342
EW17,Operating,Tiong Bahru MRT Station,12-Mar-88,Bukit Merah,,168731,1.286102536,103.8274451
NS19,Operating,Toa Payoh MRT Station,7-Nov-87,Toa Payoh,Toa Payoh Bus Interchange,319398,1.332629281,103.8475022
JE4,Future,Toh Guan MRT Station,2027,Jurong East,,,1.33984,103.7425
EW31,Operating,Tuas Crescent MRT Station,18-Jun-17,Tuas,,639608,1.321026956,103.6490782
EW33,Operating,Tuas Link MRT Station,18-Jun-17,Tuas,Tuas Bus Terminal,638418,1.340882425,103.6369914
EW32,Operating,Tuas West Road MRT Station,18-Jun-17,Tuas,,639609,1.329985047,103.6396166
JS10,Future,Tukang MRT Station,2028,Boon Lay,,,1.32533,103.70924
DT27,Operating,Ubi MRT Station,21-Oct-17,Geylang,,408899,1.32997426,103.8992267
DT34,Operating,Upper Changi MRT Station,21-Oct-17,Tampines,,485990,1.341739784,103.9614726
TE8,Future,Upper Thomson MRT Station,2021,Bishan,,577937,1.354416434,103.8328985
NS9,Operating,Woodlands MRT Station,10-Feb-96,Woodlands,Woodlands Temporary Bus Interchange,738343,1.43681963,103.7860668
TE2,Operating,Woodlands MRT Station,10-Feb-96,Woodlands,Woodlands Temporary Bus Interchange,737736,1.436057617,103.7879388
TE1,Operating,Woodlands North MRT Station,31-Jan-20,Woodlands,,737668,1.448292453,103.7856927
RTS,Operating,Woodlands North MRT Station,31-Jan-20,Woodlands,,,,
TE3,Operating,Woodlands South MRT Station,31-Jan-20,Woodlands,,737741,1.427396053,103.7932643
NE11,Operating,Woodleigh MRT Station,20-Jun-11,Toa Payoh,Bidadari Bus Interchange,347695,1.339190045,103.8708183
DT36,Future,Xilin MRT Station,2024,Tampines,,NIL,1.328906949,103.9649026
NS5,Operating,Yew Tee MRT Station,10-Feb-96,Choa Chu Kang,,689715,1.397535069,103.7474052
NS15,Operating,Yio Chu Kang MRT Station,7-Nov-87,Ang Mo Kio,Yio Chu Kang Bus Interchange,569813,1.381755871,103.8449473
NS13,Operating,Yishun MRT Station,20-Dec-88,Yishun,Yishun Bus Interchange,769093,1.429443085,103.835005
